Cycle;It;Time;TotalTime;Size;Operation;TrainLL;ValidLL;TestLL
0;149;28.433070205000003;13566.030415085006;3028.0;Split(2440,609,816,[C(133),C(-133)],MaxDepth(3));-180.27244132615172;-180.16676682782926;NaN
0;150;35.440140269000004;13601.470555354006;3051.0;Split(3036,1039,2936,[C(486),C(-486)],MaxDepth(3));-179.26605361959156;-179.1620414324356;NaN
0;151;288.276605678;13889.747161032006;3054.0;Split(2562,121,1548,[C(175),C(-175)],MaxDepth(3));-179.1370062439602;-179.0372222831252;NaN
0;152;32.050891355000005;13921.798052387006;3077.0;Split(3065,239,2994,[C(154),C(-154)],MaxDepth(3));-178.16304537494446;-178.05720365465925;NaN
0;153;278.900340577;14200.698392964006;3080.0;Split(2547,181,1458,[C(97),C(-97)],MaxDepth(3));-178.03866409417796;-177.92968676366277;NaN
0;154;29.846366757000002;14230.544759721006;3089.0;Split(2822,467,2476,[C(401),C(-401)],MaxDepth(3));-177.70965603900797;-177.61577007495927;NaN
0;155;60.101396915;14290.646156636007;3098.0;Split(2780,739,2328,[C(245),C(-245)],MaxDepth(3));-177.39528915016325;-177.30695655062365;NaN
0;156;68.41855641400001;14359.064713050007;3101.0;Split(1926,1385,36,[C(583),C(-583)],MaxDepth(3));-177.27786735861437;-177.1890852352124;NaN
0;157;30.009415987;14389.074129037008;3104.0;Split(2457,541,918,[C(103),C(-103)],MaxDepth(3));-177.16247870349713;-177.06860197910163;NaN
0;158;31.707714668;14420.781843705008;3124.0;Split(3039,943,2942,[C(483),C(-483)],MaxDepth(3));-176.35585545463817;-176.24363524202994;NaN
0;159;299.85552973800003;14720.637373443009;3126.0;Clone(519,934,[{4169:522}],MaxDepth(3));-176.16722942387992;-176.0501252708624;NaN
0;160;95.53569289800001;14816.173066341009;3128.0;Clone(525,930,[{4171:528}],MaxDepth(3));-176.01933109987164;-175.90043252271934;NaN
0;161;94.928843837;14911.10191017801;3131.0;Split(2654,1481,1812,[C(691),C(-691)],MaxDepth(3));-175.9043233159959;-175.7893088195233;NaN
0;162;27.12337476;14938.22528493801;3133.0;Clone(3137,1106,[{3979:3139}],MaxDepth(3));-175.82852593570055;-175.70996438992628;NaN
0;163;65.125262085;15003.350547023008;3156.0;Split(3054,591,2972,[C(158),C(-158)],MaxDepth(3));-174.96567295780426;-174.84217803209023;NaN
0;164;278.57303419000004;15281.923581213008;3165.0;Split(2739,1003,2182,[C(567),C(-567)],MaxDepth(3));-174.6656579739953;-174.54203604950138;NaN
0;165;208.773081762;15490.696662975008;3168.0;Split(2437,621,798,[C(163),C(-163)],MaxDepth(3));-174.55327476181924;-174.4289130431586;NaN
0;166;36.270276698;15526.966939673008;3191.0;Split(3057,495,2978,[C(378),C(-378)],MaxDepth(3));-173.6947258218312;-173.56226862088556;NaN
0;167;270.484580359;15797.451520032007;3193.0;Clone(3877,482,[{4262:3879}],MaxDepth(3));-173.5891256243788;-173.45843100654076;NaN
0;168;28.932257046;15826.383777078008;3196.0;Split(2544,193,1440,[C(121),C(-121)],MaxDepth(3));-173.47825406582075;-173.3519973633998;NaN
0;169;37.974337215000006;15864.358114293009;3219.0;Split(3066,207,2996,[C(150),C(-150)],MaxDepth(3));-172.63665116950622;-172.5244248814323;NaN
0;170;290.969809664;16155.32792395701;3221.0;Clone(3453,498,[{4254:3455}],MaxDepth(3));-172.56399223001702;-172.4499581304356;NaN
0;171;33.014887863000006;16188.34281182001;3224.0;Split(2655,1477,1818,[C(717),C(-717)],MaxDepth(3));-172.45536504358512;-172.348172444976;NaN
0;172;30.853448363000002;16219.19626018301;3233.0;Split(2823,459,2478,[C(347),C(-347)],MaxDepth(3));-172.16930298543554;-172.0644560691384;NaN
0;173;66.771844187;16285.96810437001;3256.0;Split(3059,431,2982,[C(266),C(-266)],MaxDepth(3));-171.34957554343268;-171.2242634307622;NaN
0;174;292.734357531;16578.702461901008;3258.0;Clone(3513,418,[{4352:3515}],MaxDepth(3));-171.2516087734721;-171.13008515459515;NaN
0;175;95.42614026400001;16674.12860216501;3260.0;Clone(3317,1026,[{4059:3319}],MaxDepth(3));-171.18077794834406;-171.0614429681349;NaN
0;176;63.819192098;16737.947794263007;3263.0;Split(2703,1221,2042,[C(709),C(-709)],MaxDepth(3));-171.07544546161174;-170.95747801601956;NaN
0;177;30.492372247000002;16768.44016651001;3276.0;Split(2832,387,2496,[C(234),C(-234)],MaxDepth(3));-170.76201234759196;-170.64833660898427;NaN
0;178;61.635174615000004;16830.075341125008;3279.0;Split(2710,1193,2084,[C(679),C(-679)],MaxDepth(3));-170.66186796833873;-170.54435983845894;NaN
0;179;28.012693091000003;16858.08803421601;3292.0;Split(2680,1347,1936,[C(578),C(-578)],MaxDepth(3));-170.36265397925595;-170.24972474697745;NaN
0;180;59.056334949000004;16917.14436916501;3294.0;Clone(3225,1090,[{3987:3227}],MaxDepth(3));-170.29622511262758;-170.1919606163027;NaN
0;181;58.272909425;16975.41727859001;3307.0;Split(2678,1363,1932,[C(634),C(-634)],MaxDepth(3));-169.9992745781531;-169.90290554295248;NaN
0;182;62.937620462000005;17038.354899052007;3316.0;Split(2802,627,2436,[C(189),C(-189)],MaxDepth(3));-169.7391819356208;-169.64444395837424;NaN
0;183;62.597247401000004;17100.952146453008;3325.0;Split(2834,371,2500,[C(398),C(-398)],MaxDepth(3));-169.45315808388887;-169.35520906901868;NaN
0;184;61.549824;17162.50197045301;3327.0;Clone(3301,226,[{4095:3303}],MaxDepth(3));-169.39054857639604;-169.29498672063374;NaN
