900146.5716221001;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
921041.8600997761;	0.0,102.0,112.98218512617132,112.98218512617132,-324187.24704391183,-324187.24704391183,-324187.24704391183,-64694.60419863712,-64694.60419863712,0.0,0.0
921256.256539087;	0.0,103.0,69.19966476296793,69.19966476296793,-324118.0473791489,-324118.0473791489,-324118.0473791489,-64681.27262912594,-64681.27262912594,0.0,0.0
921357.8783464581;	0.0,104.0,50.326128130119606,50.326128130119606,-324067.72125101875,-324067.72125101875,-324067.72125101875,-64678.851593990774,-64678.851593990774,0.0,0.0
921359.977825443;	0.0,105.0,178.48241740945127,178.4824174094513,-323889.2388336093,-323889.2388336093,-323889.2388336093,-64638.66246608277,-64638.66246608277,0.0,0.0
921575.3797314421;	0.0,106.0,352.73900445173945,352.73900445173945,-323536.4998291575,-323536.4998291575,-323536.4998291575,-64572.27745340205,-64572.27745340205,0.0,0.0
921747.525856486;	0.0,107.0,102.4443842945771,102.4443842945771,-323434.0554448629,-323434.0554448629,-323434.0554448629,-64540.751360236856,-64540.751360236856,0.0,0.0
921908.785095148;	0.0,108.0,258.70947628959277,258.70947628959277,-323175.34596857324,-323175.34596857324,-323175.34596857324,-64498.34931861527,-64498.34931861527,0.0,0.0
922061.823308462;	0.0,109.0,273.24192078681597,273.24192078681597,-322902.1040477864,-322902.1040477864,-322902.1040477864,-64436.97154656274,-64436.97154656274,0.0,0.0
922360.82566879;	0.0,110.0,81.96146648793113,81.96146648793113,-322820.1425812984,-322820.1425812984,-322820.1425812984,-64417.546047132026,-64417.546047132026,0.0,0.0
922397.3605007441;	0.0,111.0,477.187606594906,477.187606594906,-322342.95497470355,-322342.95497470355,-322342.95497470355,-64341.51583594323,-64341.51583594323,0.0,0.0
922616.811266395;	0.0,112.0,30.7346319407975,30.7346319407975,-322312.2203427627,-322312.2203427627,-322312.2203427627,-64333.76192521183,-64333.76192521183,0.0,0.0
922724.7226754201;	0.0,113.0,29.92132575398773,29.92132575398773,-322282.29901700874,-322282.29901700874,-322282.29901700874,-64334.3407813665,-64334.3407813665,0.0,0.0
922742.015774972;	0.0,114.0,629.1931139610442,629.1931139610431,-321653.1059030477,-321653.1059030477,-321653.1059030477,-64212.22372727289,-64212.22372727289,0.0,0.0
924147.894524288;	0.0,115.0,366.84221958235565,366.84221958235565,-321286.26368346537,-321286.26368346537,-321286.26368346537,-64139.39754000744,-64139.39754000744,0.0,0.0
924718.3697281531;	0.0,116.0,400.5875561994137,400.5875561994137,-320885.6761272659,-320885.6761272659,-320885.6761272659,-64063.418169470315,-64063.418169470315,0.0,0.0
924779.589705795;	0.0,117.0,17.17709039390563,17.17709039390563,-320868.499036872,-320868.499036872,-320868.499036872,-64062.69131898947,-64062.69131898947,0.0,0.0
924842.519346049;	0.0,118.0,110.79717247577976,110.79717247577885,-320757.70186439616,-320757.70186439616,-320757.70186439616,-64040.99558007413,-64040.99558007413,0.0,0.0
926520.0782566351;	0.0,119.0,275.2845002062023,275.2845002062023,-320482.41736419,-320482.41736419,-320482.41736419,-63990.98232360174,-63990.98232360174,0.0,0.0
926872.373633246;	0.0,120.0,221.5757759962453,221.5757759962453,-320260.8415881937,-320260.8415881937,-320260.8415881937,-63941.51219963544,-63941.51219963544,0.0,0.0
927264.74133776;	0.0,121.0,254.0746227262769,254.0746227262769,-320006.7669654674,-320006.7669654674,-320006.7669654674,-63880.95828796556,-63880.95828796556,0.0,0.0
927673.389862969;	0.0,122.0,618.5316981694561,618.5316981694559,-319388.23526729795,-319388.23526729795,-319388.23526729795,-63765.43889127044,-63765.43889127044,0.0,0.0
929788.165688595;	0.0,123.0,498.0074759853269,498.0074759853269,-318890.22779131256,-318890.22779131256,-318890.22779131256,-63682.527793961715,-63682.527793961715,0.0,0.0
932333.3799524561;	0.0,124.0,134.34803397312743,134.34803397312743,-318755.8797573395,-318755.8797573395,-318755.8797573395,-63655.672207020834,-63655.672207020834,0.0,0.0
932930.2189731791;	0.0,125.0,236.20863386007696,236.20863386007696,-318519.6711234794,-318519.6711234794,-318519.6711234794,-63605.800234333314,-63605.800234333314,0.0,0.0
933273.7921893231;	0.0,126.0,229.14573950001278,229.14573950001278,-318290.52538397943,-318290.52538397943,-318290.52538397943,-63573.555106514774,-63573.555106514774,0.0,0.0
933591.0323383941;	0.0,127.0,226.72929884215543,226.7292988421554,-318063.7960851372,-318063.7960851372,-318063.7960851372,-63529.79411938903,-63529.79411938903,0.0,0.0
933909.4950737291;	0.0,128.0,199.79381129085198,199.79381129085198,-317864.0022738463,-317864.0022738463,-317864.0022738463,-63453.246395417824,-63453.246395417824,0.0,0.0
933991.192919378;	0.0,129.0,12.743649982533668,12.743649982533668,-317851.25862386375,-317851.25862386375,-317851.25862386375,-63448.26068767258,-63448.26068767258,0.0,0.0
933994.752070546;	0.0,130.0,63.693162715938136,63.693162715938136,-317787.5654611478,-317787.5654611478,-317787.5654611478,-63436.83266677155,-63436.83266677155,0.0,0.0
934071.853405789;	0.0,131.0,209.0091357171847,209.00913571718473,-317578.5563254306,-317578.5563254306,-317578.5563254306,-63403.22944624987,-63403.22944624987,0.0,0.0
934330.587491028;	0.0,132.0,12.178356725042761,12.178356725042761,-317566.37796870555,-317566.37796870555,-317566.37796870555,-63404.624963322225,-63404.624963322225,0.0,0.0
934435.07757471;	0.0,133.0,194.21490915915388,194.21490915915388,-317372.1630595464,-317372.1630595464,-317372.1630595464,-63370.388173597385,-63370.388173597385,0.0,0.0
934844.0322446631;	0.0,134.0,59.59559586128738,59.59559586128738,-317312.56746368506,-317312.56746368506,-317312.56746368506,-63357.95330392281,-63357.95330392281,0.0,0.0
937467.00811417;	0.0,135.0,196.48826959933714,196.48826959933714,-317116.07919408585,-317116.07919408585,-317116.07919408585,-63327.905989642706,-63327.905989642706,0.0,0.0
937863.1028311331;	0.0,136.0,23.00891187721254,23.00891187721254,-317093.0702822087,-317093.0702822087,-317093.0702822087,-63322.63785800651,-63322.63785800651,0.0,0.0
938055.163617052;	0.0,137.0,22.15571474898661,22.15571474898661,-317070.91456745967,-317070.91456745967,-317070.91456745967,-63317.53717952322,-63317.53717952322,0.0,0.0
938691.437303573;	0.0,138.0,21.774632318667614,21.774632318667614,-317049.13993514096,-317049.13993514096,-317049.13993514096,-63317.744391569955,-63317.744391569955,0.0,0.0
938884.7059294571;	0.0,139.0,83.66168989574362,83.66168989574362,-316965.47824524523,-316965.47824524523,-316965.47824524523,-63302.646609883035,-63302.646609883035,0.0,0.0
938966.07725243;	0.0,140.0,51.11421365341668,51.11421365341668,-316914.3640315918,-316914.3640315918,-316914.3640315918,-63284.18004456706,-63284.18004456706,0.0,0.0
939361.526096213;	0.0,141.0,315.54959184075705,315.54959184075705,-316598.81443975103,-316598.81443975103,-316598.81443975103,-63235.31039738609,-63235.31039738609,0.0,0.0
940150.987808621;	0.0,142.0,196.17335448051082,196.17335448051082,-316402.6410852705,-316402.6410852705,-316402.6410852705,-63206.55085397299,-63206.55085397299,0.0,0.0
940736.157474405;	0.0,143.0,9.610971333451857,9.610971333451857,-316393.03011393704,-316393.03011393704,-316393.03011393704,-63206.73496355267,-63206.73496355267,0.0,0.0
940804.3381904911;	0.0,144.0,547.3927049221329,547.392704922132,-315845.6374090151,-315845.6374090151,-315845.6374090151,-63108.96928971956,-63108.96928971956,0.0,0.0
943778.0991196671;	0.0,145.0,162.18614374576578,162.18614374576396,-315683.4512652692,-315683.4512652692,-315683.4512652692,-63083.483074292504,-63083.483074292504,0.0,0.0
