517776.142281352;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
527385.0661721521;	0.0,72.0,11109.649518981452,11109.649518981452,-9908302.835344505,-9908302.835344505,-9908302.835344505,-2477538.773810804,-2477538.773810804,0.0,0.0
527408.384196492;	0.0,73.0,10991.983589308507,10991.983589308507,-9897310.851755196,-9897310.851755196,-9897310.851755196,-2474767.3864994417,-2474767.3864994417,0.0,0.0
527437.009119782;	0.0,74.0,10933.64866524735,10933.64866524735,-9886377.203089949,-9886377.203089949,-9886377.203089949,-2472033.118886287,-2472033.118886287,0.0,0.0
527467.526284517;	0.0,75.0,10919.765347770284,10919.765347770284,-9875457.437742177,-9875457.437742177,-9875457.437742177,-2469267.3178354315,-2469267.3178354315,0.0,0.0
527524.164971472;	0.0,76.0,10915.184215967514,10915.184215967514,-9864542.25352621,-9864542.25352621,-9864542.25352621,-2466581.0873588235,-2466581.0873588235,0.0,0.0
527582.8102876351;	0.0,77.0,10908.583409583596,10908.583409583596,-9853633.670116626,-9853633.670116626,-9853633.670116626,-2463895.6907676924,-2463895.6907676924,0.0,0.0
527608.926173673;	0.0,78.0,32681.97879429547,32681.97879429547,-9820951.691322329,-9820951.691322329,-9820951.691322329,-2455715.3147551585,-2455715.3147551585,0.0,0.0
527669.336965455;	0.0,79.0,32681.163012715864,32681.163012715864,-9788270.528309613,-9788270.528309613,-9788270.528309613,-2447417.3985470766,-2447417.3985470766,0.0,0.0
527732.008182582;	0.0,80.0,10879.158783446885,10879.158783446885,-9777391.369526166,-9777391.369526166,-9777391.369526166,-2444704.594249703,-2444704.594249703,0.0,0.0
527762.682428978;	0.0,81.0,32599.049495883264,32599.04949588325,-9744792.320030283,-9744792.320030283,-9744792.320030283,-2436567.6411233433,-2436567.6411233433,0.0,0.0
527819.8632000671;	0.0,82.0,10857.953562732357,10857.953562732357,-9733934.36646755,-9733934.36646755,-9733934.36646755,-2433870.0388565673,-2433870.0388565673,0.0,0.0
527851.517629741;	0.0,83.0,10830.165594889317,10830.165594889317,-9723104.200872662,-9723104.200872662,-9723104.200872662,-2431062.7028057473,-2431062.7028057473,0.0,0.0
527880.8890063111;	0.0,84.0,10746.953413541538,10746.953413541538,-9712357.24745912,-9712357.24745912,-9712357.24745912,-2428474.40324053,-2428474.40324053,0.0,0.0
527907.577906519;	0.0,85.0,10745.39038554309,10745.39038554309,-9701611.857073575,-9701611.857073575,-9701611.857073575,-2425743.4321035836,-2425743.4321035836,0.0,0.0
527991.2555281781;	0.0,86.0,10673.140833491503,10673.140833491503,-9690938.716240084,-9690938.716240084,-9690938.716240084,-2423067.7647250416,-2423067.7647250416,0.0,0.0
528017.672797109;	0.0,87.0,10624.134322578939,10624.134322578939,-9680314.581917504,-9680314.581917504,-9680314.581917504,-2420565.832034775,-2420565.832034775,0.0,0.0
528045.673602078;	0.0,88.0,10571.301506617856,10571.301506617856,-9669743.280410884,-9669743.280410884,-9669743.280410884,-2417939.340859563,-2417939.340859563,0.0,0.0
528072.6093703221;	0.0,89.0,31625.451765309022,31625.451765309022,-9638117.828645578,-9638117.828645578,-9638117.828645578,-2409828.1777409245,-2409828.1777409245,0.0,0.0
528126.442982659;	0.0,90.0,31590.41228212488,31590.412282124886,-9606527.416363453,-9606527.416363453,-9606527.416363453,-2401992.858832674,-2401992.858832674,0.0,0.0
528184.0775644591;	0.0,91.0,31574.86716089635,31574.867160896356,-9574952.549202556,-9574952.549202556,-9574952.549202556,-2394099.4602383724,-2394099.4602383724,0.0,0.0
528238.974870107;	0.0,92.0,10399.741844018696,10399.741844018696,-9564552.807358539,-9564552.807358539,-9564552.807358539,-2391550.74428757,-2391550.74428757,0.0,0.0
528269.560489202;	0.0,93.0,31187.140828709642,31187.140828709635,-9533365.666529832,-9533365.666529832,-9533365.666529832,-2383648.178686414,-2383648.178686414,0.0,0.0
528328.5460528231;	0.0,94.0,10329.846323848717,10329.846323848717,-9523035.820205985,-9523035.820205985,-9523035.820205985,-2381078.1550732045,-2381078.1550732045,0.0,0.0
528355.667433356;	0.0,95.0,10268.951427678614,10268.951427678614,-9512766.868778301,-9512766.868778301,-9512766.868778301,-2378450.643357607,-2378450.643357607,0.0,0.0
528383.283977465;	0.0,96.0,30793.755639025712,30793.755639025698,-9481973.113139277,-9481973.113139277,-9481973.113139277,-2370703.0120279617,-2370703.0120279617,0.0,0.0
528496.085773683;	0.0,97.0,10234.58323487149,10234.58323487149,-9471738.529904405,-9471738.529904405,-9471738.529904405,-2368073.6542319697,-2368073.6542319697,0.0,0.0
528525.486154314;	0.0,98.0,10188.326047057773,10188.326047057773,-9461550.203857346,-9461550.203857346,-9461550.203857346,-2365583.9955074294,-2365583.9955074294,0.0,0.0
528556.110888752;	0.0,99.0,30327.085851720236,30327.085851720236,-9431223.118005628,-9431223.118005628,-9431223.118005628,-2357942.9407902327,-2357942.9407902327,0.0,0.0
528614.979990909;	0.0,100.0,10079.500016053233,10079.500016053233,-9421143.617989575,-9421143.617989575,-9421143.617989575,-2355387.7892696243,-2355387.7892696243,0.0,0.0
528643.413366539;	0.0,101.0,9991.003571025336,9991.003571025336,-9411152.614418553,-9411152.614418553,-9411152.614418553,-2352938.5484285094,-2352938.5484285094,0.0,0.0
528672.720769215;	0.0,102.0,29905.3271881241,29905.3271881241,-9381247.287230426,-9381247.287230426,-9381247.287230426,-2345479.6979183434,-2345479.6979183434,0.0,0.0
528735.964854164;	0.0,103.0,29239.698363812327,29239.698363812335,-9352007.588866616,-9352007.588866616,-9352007.588866616,-2338190.902987071,-2338190.902987071,0.0,0.0
528853.106638107;	0.0,104.0,9724.663461140346,9724.663461140346,-9342282.925405474,-9342282.925405474,-9342282.925405474,-2335711.17877811,-2335711.17877811,0.0,0.0
528883.780835408;	0.0,105.0,29106.8449776456,29106.8449776456,-9313176.080427827,-9313176.080427827,-9313176.080427827,-2328504.9318736955,-2328504.9318736955,0.0,0.0
528942.661126766;	0.0,106.0,29011.559253726773,29011.55925372678,-9284164.521174101,-9284164.521174101,-9284164.521174101,-2321202.3660089374,-2321202.3660089374,0.0,0.0
529002.8367919431;	0.0,107.0,9592.909681830504,9592.909681830504,-9274571.61149227,-9274571.61149227,-9274571.61149227,-2318720.458643373,-2318720.458643373,0.0,0.0
529033.127661313;	0.0,108.0,28661.386541387015,28661.386541387023,-9245910.224950885,-9245910.224950885,-9245910.224950885,-2311633.784681449,-2311633.784681449,0.0,0.0
529096.223106862;	0.0,109.0,9519.56910591491,9519.56910591491,-9236390.65584497,-9236390.65584497,-9236390.65584497,-2309304.53108594,-2309304.53108594,0.0,0.0
529155.5934234681;	0.0,110.0,9501.186888323893,9501.186888323893,-9226889.468956644,-9226889.468956644,-9226889.468956644,-2306879.4399173292,-2306879.4399173292,0.0,0.0
